Date Time,Temperature,Basel Relative Humidity,Basel Wind Speed [10 m]
20090107T0600,-6.1194715,94,5.848678
20090107T0700,-6.2794714,93,4.295571
20090107T0800,-6.3594713,93,4.3935814
20090107T0900,-6.2694716,93,6.1272
20090107T1000,-6.2994714,92,8.855546
20090107T1100,-6.0594716,89,10.283178
20090107T1200,-5.1694713,87,10.538806
20090107T1300,-3.9794717,78,9.10449
20090107T1400,-2.1194715,71,4.552245
20090107T1500,-0.029471342,66,1.332
20090107T1600,-1.0694714,70,4.3935814
20090107T1700,-1.1094713,71,7.4782047
20090107T1800,-1.8694713,83,10.345105
20090107T1900,-3.8894715,90,8.673356
20090107T2000,-4.6894712,94,2.664
20090107T2100,-5.2494717,94,3.6234317
20090107T2200,-5.6994715,94,4.336678
20090107T2300,-6.1694713,93,3.013972
20090108T0000,-6.2894716,88,1.3583788
20090108T0100,-5.9094715,88,5.068606
20090108T0200,-4.8494716,77,5.0545845
20090108T0300,-4.3494716,74,5.3079824
20090108T0400,-3.2794714,70,6.992683
20090108T0500,-3.3994715,73,10.144211
20090108T0600,-4.6894712,93,8.726379
20090108T0700,-4.8194714,93,9.418661
20090108T0800,-4.9194713,93,9.418661
20090108T0900,-4.9694715,93,9.418661
20090108T1000,-4.7394714,92,10.248612
20090108T1100,-3.9894714,91,11.685216
20090108T1200,-3.1894715,86,12.070595
20090108T1300,-2.4394715,83,11.880961
20090108T1400,-2.3194714,81,11.131568
20090108T1500,-1.5694714,82,11.79403
20090108T1600,-1.2494713,82,11.204646
20090108T1700,-1.4194714,83,9.605188
20090108T1800,-1.8094714,85,7.766828
20090108T1900,-2.0494714,87,6.487264
20090108T2000,-2.4094715,90,5.4919763
20090108T2100,-2.6794715,92,4.824709
20090108T2200,-2.9794714,94,4.2624
20090108T2300,-3.2094715,94,3.4734309
20090109T0000,-3.4594715,95,2.9784424
20090109T0100,-3.6194715,95,2.7812977
20090109T0200,-3.8394713,96,2.6237357
20090109T0300,-3.9494715,96,2.742756
